Nom,Niveau de stress,Accompagnement tuteur,Intérêt missions,Difficulté tâches,Respect délais,Temps conciliation,Anxiété charge travail,Soutien équipe,Compétences nécessaires,Clarté objectifs,Remarque,Semaine
Gabrielle Davis,9,Non,2,Adaptées,Rarement,Non,Jamais,1,Oui,Très clairs,Place authority study play against explain capital.,12
Ryan Munoz,2,Oui,1,Trop faciles,Toujours,Non,Jamais,1,Oui,Pas du tout clairs,Recent house something tend front international six fight decision.,12
Monica Herrera,7,Partiellement,4,Trop difficiles,Rarement,Non,Jamais,3,Oui,Très clairs,Room red professor lead material performance build.,12
Jamie Arnold,1,Oui,3,Trop faciles,Souvent,Oui,Parfois,5,Non,Peu clairs,Hear then attorney benefit person world individual.,12
Lisa Hensley,1,Partiellement,2,Trop difficiles,Toujours,Oui,Parfois,1,Oui,Très clairs,Realize last take effect those body news race reality picture establish.,12
Michele Williams,1,Partiellement,1,Trop difficiles,Souvent,Oui,Jamais,5,Oui,Assez clairs,Coach today support than determine ago whatever consider various end.,12
Dylan Miller,8,Partiellement,4,Adaptées,Rarement,Oui,Souvent,5,Non,Pas du tout clairs,Common paper less accept green worry project box under usually end all the he establish.,12
Brian Ramirez,6,Oui,1,Trop faciles,Rarement,Non,Souvent,3,Oui,Pas du tout clairs,Walk protect mean several rather require garden result new left weight again seem back.,12
Holly Wood,5,Non,4,Adaptées,Souvent,Non,Souvent,4,Non,Assez clairs,Notice may space me magazine way production Mrs son executive share million.,12
Derek Zuniga,9,Partiellement,1,Adaptées,Rarement,Non,Parfois,4,Non,Pas du tout clairs,Authority item Mrs name lay what situation real always student full force fish hope.,12
Lisa Jackson,1,Partiellement,1,Adaptées,Rarement,Oui,Souvent,2,Non,Très clairs,Exist pull baby eye half top beautiful prove.,12
Carla Gray,4,Oui,1,Adaptées,Toujours,Non,Souvent,5,Oui,Très clairs,Focus rather data argue heavy citizen style.,12
Margaret Hawkins DDS,1,Non,2,Trop faciles,Toujours,Non,Parfois,5,Oui,Assez clairs,Quickly focus present technology raise available democratic security address center.,12
Patty Perez,4,Non,1,Trop difficiles,Souvent,Oui,Souvent,1,Non,Pas du tout clairs,Then check order assume teach western sea how away country hard visit between itself picture.,12
Ethan Adams,2,Non,4,Trop faciles,Rarement,Non,Jamais,5,Non,Très clairs,Cause mouth member authority reveal vote remember themselves make practice upon machine perform partner style season.,12
Tommy Walter,1,Non,2,Adaptées,Souvent,Oui,Jamais,5,Oui,Pas du tout clairs,Way president ok force middle task ahead difficult store century.,12
Matthew Foster,1,Non,4,Trop faciles,Souvent,Oui,Parfois,5,Oui,Assez clairs,Yes argue late edge career seem population would.,12
Judy Baker,1,Partiellement,3,Adaptées,Rarement,Oui,Jamais,4,Non,Pas du tout clairs,Test clearly black foot change sort card including suddenly western Mrs still.,12
Justin Baker,2,Oui,2,Trop faciles,Souvent,Oui,Souvent,4,Non,Très clairs,Simply value prepare hold in child room wide war name of these notice.,12
Stephanie Ross,6,Partiellement,3,Trop difficiles,Toujours,Oui,Parfois,5,Oui,Pas du tout clairs,Decide fire need energy area radio threat lead reveal up feel child sell.,12
Zachary Hicks,6,Partiellement,4,Trop faciles,Rarement,Oui,Jamais,1,Non,Pas du tout clairs,Talk if federal speech member water wait officer face although.,12
Anthony Rodriguez,5,Partiellement,4,Trop faciles,Toujours,Non,Parfois,3,Non,Assez clairs,Tonight just executive light teach main college first.,12
Rebecca Henderson,5,Non,4,Trop difficiles,Toujours,Non,Jamais,3,Non,Assez clairs,Movement kid information these rest with second card style yeah various.,12
James Ferrell,7,Oui,1,Trop faciles,Rarement,Non,Jamais,1,Oui,Très clairs,Something let art cell manage carry doctor film relate certain study large place.,12
Tricia Valencia,3,Partiellement,1,Adaptées,Toujours,Non,Souvent,1,Non,Pas du tout clairs,Choose administration draw treatment more itself the into.,12
Nathan Maldonado,7,Oui,2,Trop faciles,Rarement,Oui,Jamais,5,Non,Pas du tout clairs,Current whom pick mission sell choose fund us.,12
Debra Davidson,9,Partiellement,1,Trop difficiles,Rarement,Oui,Parfois,5,Oui,Peu clairs,Imagine necessary concern leader I bed action.,12
Jeffrey Chavez,2,Oui,2,Trop faciles,Rarement,Non,Jamais,4,Oui,Très clairs,Official notice political deep policy president be.,12
Sherri Baker,6,Partiellement,2,Trop difficiles,Rarement,Non,Jamais,1,Non,Pas du tout clairs,Tv rest change out room record war total dark born onto.,12
Cassandra Gaines,3,Non,4,Trop difficiles,Toujours,Non,Parfois,5,Oui,Assez clairs,Per information lose sign lawyer wrong recent strategy draw compare specific here debate.,12
Elizabeth Fowler,3,Partiellement,3,Trop difficiles,Rarement,Oui,Jamais,2,Non,Peu clairs,Where sound through newspaper son particular center.,12
Brittany Farmer,7,Non,1,Trop faciles,Souvent,Non,Parfois,3,Oui,Peu clairs,Her live almost reason probably role per suddenly movement.,12
Paula Moreno,1,Partiellement,2,Adaptées,Toujours,Non,Jamais,2,Non,Pas du tout clairs,Vote able manager book future which responsibility kind cultural work choice arrive through yeah.,12
Fred Smith,2,Oui,3,Trop difficiles,Rarement,Oui,Parfois,2,Oui,Pas du tout clairs,Score according scientist machine purpose learn interview.,12
Sherry Decker,4,Partiellement,2,Adaptées,Rarement,Oui,Jamais,2,Oui,Assez clairs,Instead should cut industry realize southern the structure general push home.,12
Anthony Humphrey,4,Partiellement,4,Trop faciles,Souvent,Oui,Souvent,5,Oui,Peu clairs,Under young task maybe nature event let book heavy person.,12
Angelica Tucker,1,Partiellement,4,Trop difficiles,Toujours,Oui,Parfois,2,Oui,Peu clairs,Work fine image type difference what institution stay thousand.,12
Philip Cannon,6,Non,2,Adaptées,Rarement,Non,Jamais,2,Oui,Assez clairs,Board carry gas appear professional me movement.,12
John Pierce,2,Oui,4,Trop difficiles,Souvent,Oui,Souvent,2,Oui,Très clairs,Pick ground lot close responsibility establish age.,12
Shane Henderson,5,Oui,3,Trop faciles,Rarement,Non,Souvent,3,Oui,Pas du tout clairs,General lot suffer turn listen rise though part government team nature travel approach.,12
Joshua Blair,7,Non,1,Trop faciles,Toujours,Oui,Jamais,4,Oui,Peu clairs,True really indicate history involve produce fear customer cultural because fly our degree together.,12
Eric Carney,6,Oui,1,Trop faciles,Toujours,Oui,Parfois,5,Non,Peu clairs,Suddenly young or want entire head man seat bed major once.,12
Allison Hill,8,Oui,4,Adaptées,Toujours,Non,Souvent,3,Non,Très clairs,Owner miss another talk method region subject.,13
Noah Rhodes,9,Oui,4,Adaptées,Toujours,Oui,Souvent,5,Non,Très clairs,Above image recently energy meet hot large bed strong say.,13
Angie Henderson,9,Non,5,Trop difficiles,Toujours,Oui,Parfois,4,Non,Peu clairs,Item any offer tonight involve speech national form rule nearly age whole.,13
Daniel Wagner,5,Non,2,Adaptées,Souvent,Oui,Souvent,5,Oui,Pas du tout clairs,Able how recognize contain trial certain none civil glass we six.,13
Cristian Santos,8,Oui,5,Trop faciles,Toujours,Oui,Parfois,4,Non,Pas du tout clairs,Behind time you line table stage along continue role.,13
Connie Lawrence,1,Oui,4,Trop difficiles,Rarement,Oui,Parfois,1,Non,Peu clairs,Attack alone option example Democrat one section year above general itself.,13
Abigail Shaffer,3,Partiellement,1,Trop faciles,Toujours,Non,Souvent,3,Oui,Pas du tout clairs,Design loss sport among bed rule and debate government we ground official Republican.,13
Gina Moore,9,Partiellement,2,Adaptées,Rarement,Non,Jamais,2,Non,Assez clairs,Also rise parent fear why chance stand professor night one able.,13
Gabrielle Davis,3,Oui,2,Trop difficiles,Toujours,Non,Parfois,3,Non,Peu clairs,Dinner every team address himself baby water industry both capital gas world.,13
Ryan Munoz,3,Oui,2,Trop faciles,Toujours,Non,Jamais,4,Non,Pas du tout clairs,Treat mouth memory shoulder this happy person space add.,13
Monica Herrera,9,Oui,5,Adaptées,Toujours,Oui,Souvent,4,Non,Pas du tout clairs,Likely official budget maybe exist financial safe break eight single ability computer current range.,13
Jamie Arnold,8,Oui,5,Trop difficiles,Toujours,Oui,Souvent,3,Oui,Très clairs,Keep skill consider piece soldier exist night floor fire expect citizen also family with rise laugh.,13
Lisa Hensley,3,Oui,1,Trop difficiles,Souvent,Oui,Jamais,1,Non,Peu clairs,Subject health live open especially see not.,13
Michele Williams,2,Oui,1,Adaptées,Toujours,Oui,Souvent,3,Oui,Pas du tout clairs,Process rise American per event treatment yeah thousand.,13
Dylan Miller,10,Non,1,Trop faciles,Souvent,Non,Parfois,4,Oui,Pas du tout clairs,Style your medical know strong yourself all.,13
Brian Ramirez,9,Oui,3,Adaptées,Toujours,Oui,Souvent,3,Non,Pas du tout clairs,Opportunity wonder reveal door whatever later because act.,13
Holly Wood,9,Oui,2,Trop difficiles,Toujours,Oui,Souvent,5,Oui,Pas du tout clairs,President enter however foot rather fact statement piece.,13
Derek Zuniga,10,Partiellement,3,Adaptées,Rarement,Non,Parfois,5,Non,Assez clairs,Small follow even attack fact home attack to skin once where central.,13
Lisa Jackson,10,Partiellement,4,Trop difficiles,Rarement,Non,Parfois,2,Oui,Peu clairs,Computer assume coach produce still hit best wall.,13
Carla Gray,4,Oui,1,Trop faciles,Souvent,Oui,Souvent,2,Non,Pas du tout clairs,Congress week war scientist have place science charge sport baby might air occur democratic room.,13
Margaret Hawkins DDS,1,Non,3,Trop difficiles,Rarement,Oui,Jamais,2,Non,Peu clairs,Thought white food instead note this could sense trade couple end.,13
Patty Perez,2,Non,3,Trop difficiles,Rarement,Non,Jamais,1,Non,Peu clairs,Deal spring want fact thousand dinner become short rise window.,13
Ethan Adams,7,Partiellement,5,Trop difficiles,Toujours,Oui,Jamais,3,Non,Pas du tout clairs,Continue enough purpose lay type buy read standard music kind campaign couple kitchen billion.,13
Tommy Walter,8,Oui,2,Adaptées,Toujours,Non,Souvent,3,Non,Pas du tout clairs,Bank free quite resource religious end house experience edge focus.,13
Matthew Foster,1,Partiellement,3,Trop difficiles,Rarement,Non,Souvent,5,Oui,Assez clairs,Door suddenly tax less then admit home final.,13
Judy Baker,10,Partiellement,3,Adaptées,Toujours,Oui,Parfois,1,Non,Pas du tout clairs,Political yourself so spend task product become fall president east food building present positive.,13
Justin Baker,9,Oui,5,Trop difficiles,Souvent,Oui,Souvent,1,Non,Peu clairs,On south leader culture how interesting nature line necessary join break consumer use art public threat.,13
Stephanie Ross,1,Non,4,Trop faciles,Souvent,Oui,Parfois,4,Non,Assez clairs,Evidence half wait beautiful senior decision strong south threat now expect through.,13
Zachary Hicks,9,Non,2,Trop faciles,Souvent,Oui,Jamais,1,Non,Très clairs,Real crime quickly past speech happy listen lead record.,13
Anthony Rodriguez,8,Partiellement,2,Trop faciles,Souvent,Non,Souvent,5,Non,Peu clairs,Candidate sister if century better perform physical beautiful difference hold way.,13
Rebecca Henderson,3,Oui,5,Trop difficiles,Toujours,Oui,Souvent,1,Non,Pas du tout clairs,His new pretty agreement else southern show best home how player worry best son however.,13
James Ferrell,9,Oui,1,Adaptées,Toujours,Oui,Parfois,4,Oui,Très clairs,Build support child concern risk if buy draw spring dream.,13
Tricia Valencia,9,Partiellement,3,Trop faciles,Rarement,Non,Souvent,2,Non,Assez clairs,Second ever factor want form win between baby issue rest same once authority assume fine.,13
Nathan Maldonado,4,Non,3,Trop difficiles,Souvent,Non,Souvent,1,Non,Assez clairs,Population across room describe today discuss kitchen trip bag your hold me election spring value.,13
Debra Davidson,3,Non,1,Trop faciles,Rarement,Oui,Jamais,5,Non,Peu clairs,Lose industry center stop their mouth place memory trouble.,13
Jeffrey Chavez,5,Oui,3,Trop difficiles,Toujours,Oui,Jamais,3,Non,Pas du tout clairs,Yourself defense option candidate fill beautiful technology somebody sea dark data sort.,13
Sherri Baker,1,Oui,1,Adaptées,Rarement,Oui,Jamais,4,Oui,Très clairs,Simple laugh effort day behavior bill positive author put then news table.,13
Cassandra Gaines,7,Non,2,Trop difficiles,Rarement,Non,Souvent,3,Non,Peu clairs,Yeah discussion center big resource standard join all.,13
Elizabeth Fowler,4,Partiellement,5,Trop faciles,Souvent,Oui,Jamais,4,Oui,Pas du tout clairs,Eight ever we rich build true help option very.,13
Brittany Farmer,5,Partiellement,4,Adaptées,Toujours,Oui,Jamais,5,Non,Peu clairs,Find officer guy defense situation rest guy teach follow would ask federal seat ready operation.,13
Paula Moreno,7,Oui,3,Adaptées,Souvent,Non,Jamais,1,Non,Très clairs,Whatever position general most interest without most camera admit real chance force international American play much.,13
Fred Smith,6,Non,4,Trop faciles,Souvent,Non,Souvent,5,Oui,Très clairs,Fund other staff life then whether seat feeling test pass.,13
Sherry Decker,7,Partiellement,1,Adaptées,Rarement,Oui,Parfois,5,Non,Pas du tout clairs,Down opportunity exactly seat collection human increase describe throw believe who.,13
Anthony Humphrey,10,Non,2,Trop difficiles,Toujours,Oui,Parfois,4,Oui,Peu clairs,Improve quickly way many your course marriage plan seven.,13
Angelica Tucker,4,Partiellement,5,Adaptées,Souvent,Non,Souvent,2,Oui,Très clairs,Bad management cup you form learn trade arrive read realize important rest low important medical.,13
Philip Cannon,10,Non,1,Trop difficiles,Rarement,Non,Parfois,5,Oui,Pas du tout clairs,Trial senior blood war sign friend Congress lay reality.,13
John Pierce,3,Non,4,Trop faciles,Rarement,Oui,Souvent,5,Non,Peu clairs,Tonight behavior matter magazine history one win street even.,13
Shane Henderson,8,Partiellement,1,Trop faciles,Toujours,Oui,Souvent,1,Oui,Assez clairs,No already campaign hotel hundred fill gas hope.,13
Joshua Blair,8,Partiellement,3,Adaptées,Rarement,Non,Jamais,2,Non,Peu clairs,Month figure evening trade star despite perhaps source soon receive room middle.,13
Eric Carney,10,Partiellement,3,Adaptées,Rarement,Non,Jamais,5,Oui,Pas du tout clairs,Day several figure set area room rock bar time.,13
Allison Hill,4,Non,2,Adaptées,Rarement,Oui,Jamais,5,Non,Très clairs,Under someone painting chair perform since until organization no it affect.,14
Noah Rhodes,6,Oui,3,Adaptées,Rarement,Non,Souvent,3,Non,Pas du tout clairs,Himself sea draw list else television simply condition question actually.,14
Angie Henderson,8,Non,5,Trop faciles,Rarement,Oui,Parfois,2,Oui,Pas du tout clairs,Must doctor pay strategy use third recently.,14
Daniel Wagner,7,Non,3,Adaptées,Rarement,Oui,Jamais,1,Oui,Très clairs,Return any although course any so less style reveal.,14
Cristian Santos,4,Partiellement,5,Trop difficiles,Souvent,Oui,Jamais,2,Non,Pas du tout clairs,Analysis bed strong poor itself large paper environmental his it and friend serve school on.,14
Connie Lawrence,10,Non,5,Trop faciles,Souvent,Non,Souvent,4,Non,Peu clairs,President those within ahead administration safe my woman cause keep artist air receive.,14
Abigail Shaffer,5,Oui,5,Trop difficiles,Toujours,Non,Souvent,2,Non,Pas du tout clairs,Your what plan return collection picture should decision similar wrong feeling effort agree mention rest civil.,14
Gina Moore,10,Partiellement,4,Trop faciles,Toujours,Non,Souvent,3,Oui,Pas du tout clairs,Drop commercial million spring less happen population result lawyer change me store per adult.,14
Gabrielle Davis,3,Oui,5,Adaptées,Souvent,Oui,Souvent,5,Oui,Assez clairs,Student sometimes agreement wall general really building sign recently avoid upon air.,14
Ryan Munoz,9,Partiellement,2,Trop difficiles,Rarement,Non,Souvent,1,Non,Très clairs,Listen know audience model while compare health capital best.,14
Monica Herrera,9,Non,5,Adaptées,Rarement,Non,Parfois,3,Non,Peu clairs,Raise computer fast ask sell officer participant.,14
Jamie Arnold,4,Oui,5,Trop difficiles,Souvent,Non,Jamais,4,Oui,Très clairs,Try must effect ball value writer make recent authority same class focus add plant when why.,14
Lisa Hensley,6,Partiellement,5,Trop faciles,Souvent,Non,Jamais,2,Oui,Peu clairs,Entire quality wind maybe machine traditional real money teach part successful.,14
Michele Williams,6,Oui,5,Adaptées,Souvent,Non,Jamais,1,Oui,Assez clairs,Add never around investment full order seat rather which political study radio chair commercial dinner.,14
Dylan Miller,9,Non,3,Adaptées,Rarement,Oui,Parfois,2,Oui,Peu clairs,Quality amount particular water guess rock until high federal party prevent whom trouble reality summer.,14
Brian Ramirez,3,Oui,5,Trop faciles,Souvent,Non,Parfois,2,Non,Assez clairs,Movie image room medical memory south television agent radio up really choose agree region body.,14
Holly Wood,5,Partiellement,4,Trop faciles,Rarement,Non,Jamais,1,Oui,Pas du tout clairs,Market final impact yourself pattern say strong lead somebody people recognize.,14
Derek Zuniga,8,Non,4,Adaptées,Rarement,Oui,Parfois,4,Non,Peu clairs,I next front nor teacher read contain human day various.,14
Lisa Jackson,4,Partiellement,5,Trop faciles,Souvent,Non,Parfois,3,Oui,Très clairs,Simply attack agreement cup child simply your feel car court type find subject arm catch.,14
Carla Gray,10,Partiellement,4,Adaptées,Rarement,Non,Parfois,3,Non,Très clairs,When once consumer together character five road little fast Congress policy.,14
Margaret Hawkins DDS,6,Partiellement,5,Adaptées,Souvent,Oui,Souvent,5,Oui,Peu clairs,Improve mind pretty fire decade easy work choose then drop drive pass decision.,14
Patty Perez,4,Non,5,Trop faciles,Rarement,Oui,Jamais,1,Non,Très clairs,Office range scientist stay because cover from money whatever culture pattern wind partner leave already.,14
Ethan Adams,10,Oui,5,Adaptées,Toujours,Non,Parfois,2,Oui,Très clairs,Rather box yeah run first item talk reach family wife with assume sort military purpose.,14
Tommy Walter,10,Oui,2,Trop difficiles,Rarement,Oui,Souvent,1,Oui,Très clairs,Ok capital probably indeed something able why approach measure send.,14
Matthew Foster,10,Oui,5,Trop difficiles,Rarement,Oui,Jamais,2,Non,Peu clairs,Control agent of series realize skill effect buy best others sport forward situation able.,14
Judy Baker,9,Partiellement,2,Trop difficiles,Souvent,Non,Parfois,3,Non,Assez clairs,Name hand kid office my key worry maintain make blue free.,14
Justin Baker,3,Non,2,Adaptées,Souvent,Non,Jamais,3,Non,Assez clairs,War pick always whether reveal happy little theory speak.,14
Stephanie Ross,9,Oui,5,Trop faciles,Rarement,Non,Jamais,4,Oui,Assez clairs,Response dinner people spend experience crime federal never would east character operation best likely already cut.,14
Zachary Hicks,10,Non,3,Trop difficiles,Rarement,Oui,Parfois,3,Oui,Très clairs,Source long family cell tree and even property today participant page.,14
Anthony Rodriguez,3,Oui,5,Trop difficiles,Souvent,Non,Jamais,4,Oui,Très clairs,Among music shoulder likely performance top suggest establish image author.,14
Rebecca Henderson,2,Partiellement,5,Adaptées,Toujours,Non,Parfois,5,Oui,Pas du tout clairs,Agent Mr if get class choose field.,14
James Ferrell,9,Non,5,Trop difficiles,Toujours,Oui,Jamais,4,Non,Très clairs,Into find add wrong scene nice break ago decision again.,14
Tricia Valencia,10,Partiellement,4,Adaptées,Rarement,Non,Parfois,1,Oui,Peu clairs,Play practice case may move rise somebody question yet.,14
Nathan Maldonado,10,Non,2,Adaptées,Souvent,Oui,Jamais,5,Oui,Pas du tout clairs,Again during Republican late interest mind majority operation develop over away trial my whether even heart.,14
Debra Davidson,5,Non,5,Trop faciles,Rarement,Non,Parfois,1,Non,Assez clairs,Science yourself smile crime full read travel story age bit mention impact goal.,14
Jeffrey Chavez,4,Oui,3,Trop faciles,Rarement,Oui,Parfois,4,Oui,Peu clairs,Cover style late wind finish feel audience.,14
Sherri Baker,9,Partiellement,5,Trop faciles,Toujours,Non,Jamais,3,Oui,Pas du tout clairs,Law store future value hundred thank argue experience government natural analysis why yes skin million.,14
Cassandra Gaines,3,Oui,5,Adaptées,Rarement,Oui,Souvent,5,Oui,Très clairs,Moment need stand see yourself TV miss by form break behavior.,14
Elizabeth Fowler,2,Partiellement,3,Adaptées,Rarement,Oui,Parfois,5,Oui,Assez clairs,Continue site himself something investment election ok or their interesting through heavy development admit suffer everyone.,14
Brittany Farmer,4,Oui,3,Trop difficiles,Toujours,Non,Jamais,4,Oui,Très clairs,Share hold up wait offer attack theory.,14
Paula Moreno,3,Oui,5,Trop difficiles,Rarement,Oui,Jamais,2,Non,Peu clairs,College even industry last individual lay song summer guess each several room them student.,14
Fred Smith,8,Non,2,Trop difficiles,Rarement,Oui,Parfois,2,Oui,Assez clairs,Practice senior audience attack brother character building understand move reveal movement minute.,14
Sherry Decker,7,Oui,2,Adaptées,Toujours,Non,Jamais,3,Oui,Pas du tout clairs,Somebody firm over manager recognize hand board who despite trip.,14
Anthony Humphrey,5,Partiellement,2,Trop faciles,Toujours,Non,Jamais,1,Non,Très clairs,State for throughout white career our successful care leg only magazine.,14
Angelica Tucker,2,Oui,3,Trop faciles,Rarement,Non,Parfois,4,Oui,Assez clairs,Fast theory space collection loss page political enter long race like establish leave may.,14
Philip Cannon,4,Partiellement,4,Trop difficiles,Souvent,Non,Jamais,2,Oui,Assez clairs,Million provide these coach member Congress across human question piece.,14
John Pierce,9,Partiellement,2,Trop difficiles,Souvent,Non,Parfois,1,Oui,Assez clairs,Raise street explain according growth it hundred instead beyond.,14
Shane Henderson,3,Partiellement,2,Trop difficiles,Souvent,Oui,Parfois,2,Non,Très clairs,Claim available media include management still surface audience official.,14
Joshua Blair,5,Oui,3,Trop difficiles,Souvent,Non,Jamais,2,Oui,Très clairs,Wrong yeah drug perhaps return community feeling western beat discuss name pay kind.,14
Eric Carney,7,Non,3,Adaptées,Souvent,Non,Souvent,4,Oui,Très clairs,Month wife life data quite keep attention.,14
Allison Hill,1,Partiellement,1,Trop faciles,Toujours,Non,Souvent,1,Oui,Assez clairs,Alone agency safe wish result owner doctor morning sing take instead reduce box owner per.,15
Noah Rhodes,7,Partiellement,4,Adaptées,Souvent,Oui,Souvent,3,Oui,Très clairs,Travel return actually road next information herself month fund would cup point course.,15
Angie Henderson,5,Oui,1,Trop faciles,Rarement,Non,Jamais,4,Oui,Très clairs,Process serve kid decision threat develop throughout certain night fear result blue nation say design.,15
Daniel Wagner,7,Partiellement,3,Trop faciles,Souvent,Oui,Jamais,5,Non,Assez clairs,Night recognize final whose happy report dark turn billion until eight which cost though activity.,15
Cristian Santos,6,Non,1,Adaptées,Rarement,Oui,Souvent,3,Non,Assez clairs,Safe able rich majority above science raise history child medical true area rise treatment.,15
Connie Lawrence,5,Oui,1,Trop difficiles,Rarement,Oui,Parfois,2,Oui,Pas du tout clairs,Develop final low hot animal window station way Mrs we require loss pick onto thousand report.,15
Abigail Shaffer,7,Non,1,Adaptées,Toujours,Non,Souvent,2,Oui,Assez clairs,Fire perform actually agency city line building color also public eye.,15
Gina Moore,1,Non,4,Adaptées,Toujours,Non,Parfois,3,Oui,Pas du tout clairs,Summer listen require adult always decide stock onto break audience message.,15
Gabrielle Davis,3,Oui,2,Adaptées,Rarement,Oui,Souvent,2,Oui,Pas du tout clairs,Arm consider animal blue everything return own bring.,15
Ryan Munoz,1,Oui,3,Trop difficiles,Rarement,Oui,Parfois,5,Non,Pas du tout clairs,Either themselves must because sure audience who according.,15
Monica Herrera,1,Non,3,Trop faciles,Toujours,Oui,Souvent,4,Oui,Assez clairs,Raise always lead from allow dark run police.,15
Jamie Arnold,5,Non,1,Trop difficiles,Toujours,Oui,Parfois,3,Oui,Pas du tout clairs,Lead check term current body deep conference tend all discuss service early picture feeling tax.,15
Lisa Hensley,9,Partiellement,4,Trop faciles,Souvent,Non,Jamais,4,Oui,Peu clairs,Information anything grow pattern time campaign day.,15
Michele Williams,7,Partiellement,1,Trop difficiles,Toujours,Non,Souvent,3,Oui,Peu clairs,Tend style trade certain heavy with decide choice budget include account floor.,15
Dylan Miller,6,Non,4,Trop difficiles,Rarement,Oui,Souvent,1,Non,Très clairs,Officer something soldier perhaps performance once make guy western time brother film five response again.,15
Brian Ramirez,8,Partiellement,2,Trop faciles,Toujours,Non,Parfois,4,Oui,Peu clairs,Account great series group authority stuff product perform different visit cost.,15
Holly Wood,5,Oui,4,Trop difficiles,Toujours,Oui,Jamais,3,Oui,Très clairs,Out building design raise ten truth bar.,15
Derek Zuniga,7,Partiellement,4,Trop difficiles,Toujours,Oui,Parfois,3,Non,Pas du tout clairs,Feel face time name price soon discover.,15
Lisa Jackson,4,Oui,1,Adaptées,Souvent,Non,Parfois,5,Oui,Pas du tout clairs,As eye present heavy worry see never its recognize few stage consumer growth continue.,15
Carla Gray,8,Partiellement,4,Adaptées,Souvent,Non,Souvent,1,Oui,Pas du tout clairs,Employee hear water ok customer society full begin understand natural require court station them opportunity.,15
Margaret Hawkins DDS,1,Oui,3,Trop faciles,Souvent,Oui,Jamais,2,Non,Très clairs,Mission small image fund artist employee top use impact involve nothing require occur general responsibility conference.,15
Patty Perez,2,Non,1,Trop faciles,Rarement,Oui,Parfois,4,Oui,Pas du tout clairs,Camera hot various because where performance exactly bit build charge.,15
Ethan Adams,5,Non,3,Trop difficiles,Rarement,Oui,Parfois,2,Oui,Très clairs,Information anyone want recently word enough he southern usually thousand.,15
Tommy Walter,3,Partiellement,2,Adaptées,Rarement,Non,Souvent,3,Non,Pas du tout clairs,Drug move value whether risk dinner available model.,15
Matthew Foster,7,Non,4,Trop faciles,Souvent,Oui,Parfois,2,Non,Peu clairs,Debate region sure drug through long while significant investment.,15
Judy Baker,4,Oui,1,Adaptées,Souvent,Non,Jamais,5,Oui,Peu clairs,At leg magazine officer reason work actually case me vote everyone worry.,15
Justin Baker,2,Oui,1,Trop faciles,Toujours,Oui,Jamais,3,Oui,Pas du tout clairs,Chair above raise collection wish management poor appear.,15
Stephanie Ross,4,Non,1,Trop faciles,Rarement,Oui,Souvent,3,Non,Assez clairs,Strategy shake whatever he bar total central memory watch under part catch offer.,15
Zachary Hicks,5,Non,4,Trop faciles,Rarement,Non,Jamais,1,Non,Pas du tout clairs,Turn cold where treatment player central real Mr enjoy occur rich red.,15
Anthony Rodriguez,2,Non,2,Trop faciles,Toujours,Non,Souvent,3,Non,Peu clairs,Front bank citizen house without whom assume possible consider.,15
Rebecca Henderson,9,Partiellement,1,Trop difficiles,Rarement,Non,Parfois,1,Non,Très clairs,Both cultural carry long tax technology only Congress but billion year improve force send home.,15
James Ferrell,2,Partiellement,4,Trop faciles,Souvent,Oui,Parfois,5,Oui,Pas du tout clairs,Son thank right activity recognize understand fly film important front.,15
Tricia Valencia,5,Oui,2,Trop faciles,Rarement,Oui,Souvent,5,Oui,Peu clairs,Country him high they before clearly group friend career parent dinner shake huge television off bank.,15
Nathan Maldonado,3,Oui,1,Trop difficiles,Souvent,Oui,Souvent,4,Oui,Pas du tout clairs,Market just effect role institution institution executive everyone.,15
Debra Davidson,5,Partiellement,4,Trop difficiles,Toujours,Non,Parfois,2,Non,Peu clairs,Choice finish special expert model do company good general.,15
Jeffrey Chavez,6,Non,1,Adaptées,Souvent,Non,Parfois,4,Oui,Assez clairs,Note evening series east a defense already quality laugh little.,15
Sherri Baker,7,Partiellement,3,Adaptées,Souvent,Oui,Souvent,4,Non,Assez clairs,Leader around nation it order happen always gun agree certainly have rich sister federal.,15
Cassandra Gaines,9,Partiellement,1,Trop faciles,Toujours,Non,Parfois,5,Non,Très clairs,Amount language leader cold nor study scene wall myself describe reach now.,15
Elizabeth Fowler,9,Non,1,Trop faciles,Souvent,Non,Parfois,2,Non,Assez clairs,Party billion attack quite sea spend foreign much sometimes.,15
Brittany Farmer,3,Oui,3,Adaptées,Rarement,Non,Jamais,3,Non,Pas du tout clairs,Son benefit these understand water clearly sort raise so shake hold myself born.,15
Paula Moreno,8,Partiellement,3,Trop faciles,Toujours,Oui,Jamais,3,Non,Pas du tout clairs,Enough paper national kind three notice her another house eye realize for newspaper ago throughout give.,15
Fred Smith,1,Partiellement,2,Adaptées,Toujours,Non,Souvent,2,Oui,Très clairs,Again firm news tax city model tend contain mention political green south law fall mission hope.,15
Sherry Decker,4,Non,1,Trop difficiles,Rarement,Non,Souvent,4,Non,Peu clairs,Black positive guy rather another professor return herself somebody enjoy.,15
Anthony Humphrey,7,Partiellement,1,Adaptées,Rarement,Oui,Parfois,2,Oui,Assez clairs,Sing month up road listen kid information.,15
